date,open,high,low,close,volume
2026-04-17,1.492,1.51,1.489,1.499,1971772578
2026-04-16,1.485,1.501,1.477,1.498,2272496224
2026-04-15,1.491,1.509,1.474,1.482,3038120642
2026-04-14,1.473,1.484,1.461,1.479,2631892477
2026-04-13,1.428,1.47,1.424,1.448,2592938081
2026-04-10,1.434,1.457,1.434,1.437,2545706748
2026-04-09,1.408,1.435,1.403,1.415,2695584889
2026-04-08,1.385,1.425,1.385,1.425,4004488918
2026-04-07,1.33,1.355,1.327,1.342,2255214004
2026-04-03,1.335,1.339,1.321,1.324,1751604814
2026-04-02,1.363,1.365,1.322,1.33,2602957142
2026-04-01,1.354,1.372,1.35,1.369,3013854064
2026-03-31,1.356,1.366,1.322,1.324,2573266713
2026-03-30,1.347,1.364,1.337,1.359,2090774997
2026-03-27,1.334,1.379,1.332,1.37,2294693153
2026-03-26,1.383,1.386,1.353,1.357,1958526672
2026-03-25,1.363,1.397,1.362,1.385,3332617020
2026-03-24,1.345,1.36,1.316,1.359,3385099544
2026-03-23,1.366,1.375,1.32,1.329,4309028903
2026-03-20,1.414,1.419,1.387,1.388,2904589942
2026-03-19,1.424,1.427,1.405,1.411,2765117413
2026-03-18,1.432,1.447,1.42,1.445,2182505407
2026-03-17,1.459,1.464,1.425,1.428,2269397114
2026-03-16,1.446,1.46,1.42,1.458,2660262968
2026-03-13,1.446,1.466,1.438,1.45,1855026153
2026-03-12,1.472,1.487,1.445,1.456,1880631916
2026-03-11,1.497,1.503,1.474,1.477,2020213802
2026-03-10,1.49,1.501,1.477,1.495,2170973327
2026-03-09,1.463,1.473,1.424,1.465,2881333925
2026-03-06,1.472,1.498,1.471,1.491,1688885410
2026-03-05,1.489,1.499,1.471,1.482,2727848096
2026-03-04,1.454,1.483,1.45,1.459,2137849153
2026-03-03,1.544,1.549,1.459,1.464,3961495732
2026-03-02,1.54,1.565,1.535,1.544,2155820703
2026-02-27,1.55,1.572,1.541,1.566,1928790947
2026-02-26,1.554,1.574,1.533,1.564,2468920801
2026-02-25,1.547,1.559,1.531,1.552,2082856635
2026-02-24,1.57,1.572,1.53,1.543,1760491762
2026-02-13,1.55,1.57,1.544,1.548,1855753670
2026-02-12,1.538,1.56,1.531,1.559,2016644543
2026-02-11,1.54,1.545,1.53,1.533,1512249869
2026-02-10,1.538,1.564,1.537,1.55,2058268306
2026-02-09,1.527,1.536,1.517,1.535,2293604445
2026-02-06,1.49,1.517,1.48,1.499,2553828857
2026-02-05,1.508,1.517,1.491,1.508,2931610189
2026-02-04,1.532,1.534,1.509,1.531,2613917180
2026-02-03,1.551,1.556,1.504,1.548,3077135613
2026-02-02,1.576,1.588,1.526,1.528,3137158158
2026-01-30,1.579,1.602,1.542,1.588,3242022111
2026-01-29,1.631,1.642,1.587,1.589,3350348781
2026-01-28,1.645,1.651,1.616,1.635,3148705248
2026-01-27,1.606,1.645,1.586,1.64,2918892061
2026-01-26,1.635,1.658,1.609,1.615,2654515608
2026-01-23,1.61,1.635,1.604,1.635,2655972298
2026-01-22,1.643,1.658,1.61,1.622,2741175613
2026-01-21,1.556,1.627,1.556,1.616,4245555184
2026-01-20,1.585,1.605,1.55,1.56,3837376109
2026-01-19,1.59,1.606,1.582,1.586,2830606489
2026-01-16,1.587,1.609,1.574,1.593,3691523521
2026-01-15,1.571,1.584,1.545,1.573,3492194661
2026-01-14,1.552,1.613,1.552,1.579,5089309302
2026-01-13,1.594,1.594,1.536,1.549,4436911064
2026-01-12,1.566,1.596,1.556,1.594,3576174548
2026-01-09,1.52,1.555,1.514,1.554,3473756610
2026-01-08,1.514,1.562,1.514,1.531,3582033326
2026-01-07,1.517,1.529,1.503,1.52,3456820544
2026-01-06,1.481,1.52,1.476,1.505,3880341791
2026-01-05,1.433,1.479,1.428,1.479,4159373269
2025-12-31,1.438,1.441,1.415,1.417,2197310494
2025-12-30,1.414,1.439,1.414,1.433,2432160403
2025-12-29,1.419,1.436,1.412,1.417,2577516234
2025-12-26,1.423,1.429,1.411,1.419,2077429468
2025-12-25,1.422,1.429,1.411,1.422,1803480036
2025-12-24,1.412,1.424,1.403,1.423,2067989334
2025-12-23,1.405,1.419,1.401,1.41,2113997940
2025-12-22,1.385,1.41,1.384,1.405,2652107190
2025-12-19,1.382,1.394,1.377,1.38,1815255366
2025-12-18,1.384,1.394,1.375,1.376,1835119696
2025-12-17,1.361,1.397,1.356,1.396,2863770720
2025-12-16,1.382,1.386,1.353,1.361,2915608409
2025-12-15,1.405,1.414,1.387,1.389,2163266912
2025-12-12,1.393,1.42,1.381,1.418,2806429463
2025-12-11,1.417,1.42,1.392,1.392,2067122085
2025-12-10,1.404,1.42,1.385,1.415,2600962554
2025-12-09,1.41,1.428,1.406,1.414,2478006591
2025-12-08,1.397,1.43,1.394,1.42,3458519544
2025-12-05,1.39,1.398,1.37,1.394,2592361812
2025-12-04,1.37,1.395,1.36,1.394,2220846857
2025-12-03,1.385,1.391,1.369,1.375,1824464188
2025-12-02,1.401,1.403,1.381,1.387,2047449801
2025-12-01,1.395,1.409,1.376,1.404,2162018305
2025-11-28,1.374,1.396,1.368,1.393,2092399660
2025-11-27,1.392,1.419,1.374,1.379,2739713768
2025-11-26,1.362,1.394,1.358,1.382,2940497346
2025-11-25,1.374,1.39,1.363,1.369,2974511982
2025-11-24,1.357,1.372,1.337,1.36,2792526817
2025-11-21,1.371,1.378,1.347,1.351,4361630301
2025-11-20,1.428,1.432,1.393,1.396,2358762453
2025-11-19,1.422,1.432,1.405,1.413,1885837153
2025-11-18,1.417,1.443,1.415,1.427,2219153851
2025-11-17,1.43,1.446,1.412,1.422,2336441524
2025-11-14,1.451,1.46,1.43,1.431,2360496165
2025-11-13,1.446,1.475,1.442,1.469,2338987695
2025-11-12,1.446,1.458,1.431,1.449,2778838912
2025-11-11,1.488,1.495,1.453,1.457,2083414328
2025-11-10,1.491,1.504,1.459,1.478,2291806220
2025-11-07,1.494,1.506,1.484,1.487,2072700695
2025-11-06,1.476,1.514,1.472,1.509,3259911662
2025-11-05,1.43,1.468,1.425,1.46,2784624131
2025-11-04,1.475,1.487,1.446,1.455,2920963959
2025-11-03,1.474,1.478,1.441,1.47,3073836596
2025-10-31,1.525,1.53,1.487,1.488,3798893384
