date,open,high,low,close,volume
2024-01-02,59.05,60.95,55.8,56.4,13352366
2024-01-03,55.35,56.75,54.15,54.95,9625528
2024-01-04,55.4,55.5,53.3,54.95,7044762
2024-01-05,53.7,54.6,52.5,52.7,9303652
2024-01-08,51.85,51.85,47.5,48.6,22269550
2024-01-09,48.9,49.85,48.65,48.95,8527004
2024-01-10,48.95,49.55,48.0,48.45,9300048
2024-01-11,48.85,50.7,48.35,49.95,6083654
2024-01-12,47.85,48.45,47.0,47.35,10479287
2024-01-15,46.35,46.35,41.95,43.0,26211631
2024-01-16,42.95,44.5,42.4,43.05,11052588
2024-01-17,41.7,41.7,37.65,38.9,32871106
2024-01-18,39.15,39.5,37.6,38.75,17976531
2024-01-19,38.55,38.65,36.25,37.2,16073028
2024-01-22,37.2,37.65,33.8,34.75,20790117
2024-01-23,36.2,38.25,35.6,37.35,25020615
2024-01-24,37.85,38.55,35.0,37.2,21966105
2024-01-25,35.6,35.95,34.5,35.95,16286846
2024-01-26,35.65,35.65,34.1,34.4,11085129
2024-01-29,34.5,35.2,33.65,34.15,11304762
2024-01-30,34.4,34.7,33.9,34.4,9028125
2024-01-31,33.65,33.7,32.0,32.35,11133682
2024-02-01,33.0,33.85,32.6,32.8,10271413
2024-02-02,33.6,34.25,31.4,32.2,16126756
2024-02-05,31.3,32.1,30.8,31.4,14908775
2024-02-06,30.8,33.6,30.5,33.45,14803260
2024-02-07,34.3,35.25,32.6,33.1,12317515
2024-02-08,33.1,33.9,32.75,33.2,5922767
2024-02-09,33.05,33.05,31.25,32.25,3692278
2024-02-14,32.8,35.2,31.8,34.8,7777016
2024-02-15,34.2,35.75,33.85,35.4,4270450
2024-02-16,35.4,38.25,35.15,37.5,6253327
2024-02-19,37.4,37.4,35.8,36.9,10975991
2024-02-20,37.2,37.5,34.1,35.55,19404729
2024-02-21,34.95,37.3,34.75,36.25,12618141
2024-02-22,35.6,36.45,34.95,36.45,10303141
2024-02-23,35.7,36.2,34.7,35.3,12984778
2024-02-26,33.8,35.85,33.75,34.85,15267462
2024-02-27,36.3,36.95,35.15,36.8,19154345
2024-02-28,36.7,36.9,34.8,34.9,17589567
2024-02-29,34.95,36.45,34.7,35.9,30763817
2024-03-01,36.4,39.0,35.9,38.85,38798107
2024-03-04,38.85,38.95,36.6,37.05,23557947
2024-03-05,36.9,36.9,35.35,35.95,15114373
2024-03-06,36.1,38.8,36.1,37.7,14823356
2024-03-07,37.6,38.0,35.35,35.75,14124816
2024-03-08,36.5,37.25,36.5,36.7,7520851
2024-03-11,37.0,39.35,37.0,38.85,16494021
2024-03-12,39.4,42.15,39.4,41.25,20433025
2024-03-13,40.3,41.25,39.95,40.5,11713542
2024-03-14,39.6,39.7,37.9,38.2,16006725
2024-03-15,36.95,37.85,36.5,37.8,21291797
2024-03-18,38.2,40.75,38.2,40.5,17198243
2024-03-19,38.95,40.1,38.1,39.8,17625530
2024-03-20,39.5,41.6,38.5,40.55,21469376
2024-03-21,37.9,38.6,37.3,37.9,39554220
2024-03-22,36.7,37.05,34.25,34.55,28075321
2024-03-25,34.0,34.3,33.2,33.8,17110612
2024-03-26,34.2,34.75,33.7,34.25,10154478
2024-03-27,34.0,34.0,31.9,32.1,14968491
2024-03-28,30.8,33.5,30.55,32.1,29993134
2024-04-02,30.45,31.4,29.0,30.3,30907548
2024-04-03,30.0,30.05,28.35,28.75,22139334
2024-04-05,29.05,29.45,28.2,28.95,9373901
2024-04-08,29.05,29.65,28.0,28.15,18505312
2024-04-09,28.7,30.0,28.35,29.85,20054480
2024-04-10,31.4,32.3,31.25,32.15,24575907
2024-04-11,31.6,32.75,31.4,32.3,16238637
2024-04-12,32.15,32.4,30.7,30.75,12682673
2024-04-15,29.55,30.0,29.0,29.3,13022426
2024-04-16,28.2,28.3,27.5,27.65,18542532
2024-04-17,28.05,28.5,27.85,28.25,8720746
2024-04-18,29.05,29.55,28.35,29.15,13042963
2024-04-19,27.85,27.95,26.95,27.0,16605443
2024-04-22,27.3,27.4,25.7,26.5,13946691
2024-04-23,27.4,27.6,26.7,27.45,9801181
2024-04-24,28.55,28.75,27.7,28.5,12234295
2024-04-25,27.8,28.4,27.15,27.85,11420661
2024-04-26,27.85,30.6,27.85,30.3,23486539
2024-04-29,31.3,32.45,30.65,30.75,22957853
2024-04-30,31.9,32.5,31.15,31.55,15552089
2024-05-02,31.65,34.5,31.05,34.15,10657892
2024-05-03,37.0,37.5,35.35,35.8,13902263
2024-05-06,35.1,35.5,33.9,34.65,25160352
2024-05-07,35.1,35.4,34.1,34.35,10702059
2024-05-08,33.1,33.65,32.05,32.25,20516963
2024-05-09,31.1,32.5,30.8,32.0,17883494
2024-05-10,32.15,32.55,31.15,31.95,15499632
2024-05-13,30.55,31.7,29.8,30.75,23797137
2024-05-14,32.0,32.75,30.7,30.85,20587739
2024-05-16,31.2,31.55,30.2,31.45,12721336
2024-05-17,32.1,32.5,30.85,31.85,20785592
2024-05-20,32.4,34.55,32.4,34.25,32768081
2024-05-21,32.7,32.75,30.65,30.65,30310491
2024-05-22,33.6,35.15,33.1,34.65,45244821
2024-05-23,33.95,34.05,32.5,32.8,22482524
2024-05-24,31.9,32.6,31.65,31.8,14363198
2024-05-27,32.15,32.7,31.05,32.55,8185812
2024-05-28,32.5,33.5,32.0,32.35,10056399
2024-05-29,33.0,33.15,32.2,32.4,9131401
2024-05-30,32.0,32.1,31.3,31.8,9277116
2024-05-31,33.4,34.1,32.3,32.35,26666733
2024-06-03,32.8,33.25,32.35,32.65,11374766
2024-06-04,32.1,32.6,31.7,32.3,7834337
2024-06-05,32.0,33.25,31.85,32.7,9819966
2024-06-06,33.4,33.5,32.35,32.75,8312610
2024-06-07,32.75,32.75,31.85,32.4,21309384
2024-06-11,31.5,31.5,30.5,31.15,20071007
2024-06-12,29.6,30.0,29.35,29.5,19525136
2024-06-13,29.7,30.15,28.9,29.05,14843806
2024-06-14,28.75,29.1,28.3,28.7,10293200
2024-06-17,28.35,28.8,27.85,28.35,7223902
2024-06-18,28.4,28.9,28.3,28.35,6686677
2024-06-19,29.1,29.85,28.9,29.85,9089367
2024-06-20,29.85,29.95,29.2,29.4,5992376
2024-06-21,29.45,29.6,29.05,29.45,10822011
2024-06-24,29.7,30.5,29.55,30.4,9645694
2024-06-25,30.65,30.95,30.1,30.5,9871339
2024-06-26,30.85,31.45,30.5,31.0,8199306
2024-06-27,31.85,31.85,30.6,30.65,11400830
2024-06-28,29.6,30.35,29.2,29.55,8563498
2024-07-02,30.1,31.0,29.55,29.85,9718623
2024-07-03,29.75,30.65,29.55,30.1,10086587
2024-07-04,32.45,32.7,31.1,31.35,19020750
2024-07-05,31.45,31.45,29.85,30.4,11322580
2024-07-08,30.5,30.7,29.0,29.65,11231294
2024-07-09,29.35,29.35,28.25,29.0,9465103
2024-07-10,29.15,29.95,28.6,29.6,7941158
2024-07-11,31.2,33.4,31.1,33.05,31673406
2024-07-12,34.1,34.45,33.15,34.45,19342434
2024-07-15,34.2,34.4,32.6,32.9,10724864
2024-07-16,32.95,34.0,32.65,33.55,11284559
2024-07-17,34.4,35.3,34.35,34.6,15237976
2024-07-18,33.5,33.6,32.55,32.8,9564542
2024-07-19,32.55,33.45,32.1,32.4,11529313
2024-07-22,33.35,34.15,32.45,33.65,11780305
2024-07-23,34.9,34.95,33.75,33.95,11726488
2024-07-24,32.95,32.95,31.85,32.25,9371060
2024-07-25,31.6,32.15,31.15,31.65,7350766
2024-07-26,32.15,32.4,31.65,32.2,5503743
2024-07-29,33.3,33.3,32.45,32.5,8224823
2024-07-30,32.3,32.3,31.0,31.25,9495013
2024-07-31,31.5,32.55,31.2,32.35,9026878
2024-08-01,32.1,32.1,30.85,31.0,11258837
2024-08-02,29.9,30.35,29.1,29.45,13589044
2024-08-05,28.9,30.05,28.4,28.65,12747935
2024-08-06,29.3,29.65,28.45,28.65,8716800
2024-08-07,28.5,28.55,27.5,27.65,18738679
2024-08-08,26.9,27.45,26.4,26.7,14036724
2024-08-09,27.5,27.9,27.2,27.7,9369618
2024-08-12,27.0,27.15,26.25,26.55,10906000
2024-08-13,26.2,26.35,25.5,26.05,11091360
2024-08-14,26.9,27.1,26.25,26.5,9084334
2024-08-15,25.9,26.75,25.7,26.35,6915625
2024-08-16,26.55,26.9,26.45,26.6,7059852
2024-08-19,26.95,27.95,26.95,27.6,11504800
2024-08-20,28.1,28.4,27.2,27.55,9843222
2024-08-21,26.45,27.4,26.0,26.95,11452041
2024-08-22,27.55,27.75,26.55,27.6,12052841
2024-08-23,27.3,27.3,26.85,27.15,6773220
2024-08-26,27.55,29.15,27.55,29.05,16339343
2024-08-27,29.1,30.35,28.75,30.3,13509146
2024-08-28,31.0,31.3,30.35,30.95,19484229
2024-08-29,28.7,29.75,27.95,29.4,19756941
2024-08-30,30.6,32.8,30.25,31.85,29971713
2024-09-02,32.25,32.3,31.4,31.6,10756638
2024-09-03,31.7,33.25,31.55,32.2,12004479
2024-09-04,32.6,33.25,32.1,32.7,10816652
2024-09-05,33.25,33.7,32.75,33.2,11042043
2024-09-09,33.2,33.85,32.2,32.4,19223412
2024-09-10,33.0,33.8,32.6,33.05,15686807
2024-09-11,33.75,34.5,33.6,34.15,13283276
2024-09-12,35.15,35.3,34.25,34.6,10000790
2024-09-13,33.45,34.65,33.0,34.15,8884969
2024-09-16,34.6,35.1,34.05,35.1,2926540
2024-09-17,35.2,35.85,34.5,35.5,3572243
2024-09-19,34.1,35.8,33.95,35.6,11660244
2024-09-20,36.55,39.45,36.25,38.05,31722264
2024-09-23,38.05,38.3,37.0,37.2,11928397
2024-09-24,38.05,39.6,37.65,39.6,17733440
2024-09-25,41.5,41.9,38.65,39.0,19606756
2024-09-26,40.6,43.65,39.95,43.3,26404285
2024-09-27,44.85,47.4,43.9,47.25,32130570
2024-09-30,50.75,54.85,50.15,52.95,34613528
2024-10-02,51.15,57.35,51.15,55.0,26873499
2024-10-03,53.35,53.35,48.15,50.4,21154649
2024-10-04,48.5,51.4,47.8,50.25,15344149
2024-10-07,52.0,55.0,51.4,51.9,16331191
2024-10-08,51.55,51.6,44.0,45.05,40526587
2024-10-09,47.0,50.6,45.6,46.85,36506144
2024-10-10,48.85,51.5,48.2,50.6,28148582
2024-10-14,49.0,49.05,45.95,47.75,21752153
2024-10-15,45.5,46.6,44.0,44.5,26463892
2024-10-16,43.6,44.45,42.4,43.05,18768413
2024-10-17,43.05,44.5,41.65,41.85,11823297
2024-10-18,40.5,43.6,39.85,42.45,27746483
2024-10-21,41.55,42.35,40.9,41.2,16727511
2024-10-22,42.45,43.9,42.2,42.35,20304616
2024-10-23,42.55,45.05,42.35,44.15,17243600
2024-10-24,44.15,44.55,42.55,42.6,11894893
2024-10-25,41.0,42.9,40.9,41.8,24164200
2024-10-28,43.85,45.6,43.6,44.8,19296953
2024-10-29,47.7,48.4,45.85,45.95,19102463
2024-10-30,45.05,46.25,43.85,44.15,17394186
2024-10-31,44.35,45.7,44.15,45.15,13013181
2024-11-01,43.85,44.95,43.05,44.3,14097600
2024-11-04,45.15,48.05,45.15,47.7,21017929
2024-11-05,47.1,50.15,46.9,49.7,22631315
2024-11-06,50.5,51.85,48.3,49.4,22516276
2024-11-07,48.0,50.8,47.7,50.0,19541969
2024-11-08,57.5,60.0,57.0,57.35,55752540
2024-11-11,57.3,59.8,56.2,59.55,32107262
2024-11-12,60.0,61.6,56.05,56.85,28659723
2024-11-13,53.8,54.6,51.95,54.3,27328669
2024-11-14,52.75,53.05,50.1,50.55,27737290
2024-11-15,49.6,51.2,48.7,49.6,22766568
2024-11-18,50.5,51.35,49.3,50.2,18182277
2024-11-19,51.4,53.25,50.7,51.95,20196667
2024-11-20,49.6,51.85,49.6,50.35,21969050
2024-11-21,49.6,50.0,47.0,47.35,27754645
2024-11-22,47.65,48.1,44.7,45.2,24183385
2024-11-25,47.05,47.1,44.5,45.15,25484249
2024-11-26,44.5,46.0,44.2,44.4,13193142
2024-11-27,44.5,46.65,42.9,46.2,24764406
2024-11-28,46.8,46.9,45.15,45.35,13298390
2024-11-29,45.7,47.25,45.5,46.45,15442589
2024-12-02,47.1,49.6,47.1,48.8,23121528
2024-12-03,48.95,49.25,47.4,48.75,18094440
2024-12-04,49.25,50.95,49.0,50.0,20338580
2024-12-05,49.9,50.75,49.5,49.95,13023939
2024-12-06,49.5,50.5,48.65,50.05,16074507
2024-12-09,49.0,52.55,48.3,52.45,22981454
2024-12-10,55.7,55.8,51.3,51.5,24189055
2024-12-11,51.5,52.5,50.25,50.7,10867888
2024-12-12,50.7,51.6,49.5,50.8,14707240
2024-12-13,50.1,50.2,47.6,47.8,18483851
2024-12-16,48.0,48.6,47.25,48.0,9388917
2024-12-17,47.85,49.4,47.65,48.15,10738499
2024-12-18,50.05,50.2,49.0,50.1,11767509
2024-12-19,48.6,49.15,48.25,48.5,10866871
2024-12-20,49.1,49.6,48.5,48.6,11831301
2024-12-23,49.15,49.45,48.25,49.0,6910363
2024-12-24,49.0,50.4,49.0,50.1,6507216
2024-12-27,51.15,51.5,48.5,49.35,18238061
2024-12-30,49.0,49.4,46.15,46.5,21405373
2024-12-31,46.1,46.9,45.85,46.65,8550909
2025-01-02,46.2,46.3,44.9,45.0,15223870
2025-01-03,45.1,46.35,44.0,44.7,17555608
2025-01-06,45.6,47.05,45.15,46.2,17200737
2025-01-07,45.8,47.9,45.15,47.45,22499179
2025-01-08,49.65,49.9,47.6,48.55,30741520
2025-01-09,47.7,47.8,46.4,46.8,12142501
2025-01-10,47.5,48.05,46.25,46.6,7257056
2025-01-13,47.25,47.25,45.8,46.65,10814135
2025-01-14,46.2,50.65,45.75,50.6,29605172
2025-01-15,49.35,50.4,48.85,50.1,16233842
2025-01-16,51.2,53.8,50.95,53.6,30170666
2025-01-17,53.6,54.7,53.15,54.2,12295810
2025-01-20,54.8,56.65,54.65,56.35,18288153
2025-01-21,57.35,59.85,55.8,59.7,30225267
2025-01-22,58.15,59.35,57.3,57.85,17371182
2025-01-23,57.2,58.1,55.1,55.75,18336928
2025-01-24,55.75,57.7,55.45,57.2,10884315
2025-01-27,57.2,60.05,57.0,58.15,16746907
2025-01-28,59.6,59.6,57.85,59.0,2265404
2025-02-03,57.9,58.75,55.2,58.45,10314978
2025-02-04,61.35,67.2,60.95,65.7,21546180
2025-02-05,65.0,65.65,62.75,64.85,19533103
2025-02-06,65.4,67.5,64.0,67.3,19956572
2025-02-07,67.8,69.35,65.7,68.45,34044749
2025-02-10,66.4,68.15,64.7,67.75,26785118
2025-02-11,65.3,65.3,61.55,61.65,46420378
2025-02-12,61.1,63.25,60.5,62.35,23892992
2025-02-13,62.45,64.3,60.05,60.6,33914311
2025-02-14,62.0,64.35,62.0,64.2,27085407
2025-02-17,65.0,67.95,64.15,66.55,25367878
2025-02-18,67.55,69.9,66.4,68.35,21356846
2025-02-19,69.6,72.65,67.45,71.1,28089172
2025-02-20,70.6,72.0,67.85,68.15,18268381
2025-02-21,69.7,72.2,68.65,71.9,21489135
2025-02-24,71.9,74.6,70.4,72.25,22730525
2025-02-25,70.25,77.85,69.0,75.45,39492032
2025-02-26,75.7,83.1,75.6,81.7,43617595
2025-02-27,88.0,90.0,83.55,86.75,54478640
2025-02-28,86.75,86.95,79.25,79.8,46948283
2025-03-03,83.8,86.0,80.45,81.35,37669292
2025-03-04,78.15,80.9,75.85,78.9,30236122
2025-03-05,79.65,82.7,78.3,82.05,21774480
2025-03-06,85.35,87.8,83.6,86.05,27155286
2025-03-07,87.35,92.55,85.25,90.0,36509654
2025-03-10,92.5,96.35,88.6,89.25,41839199
2025-03-11,89.0,98.4,88.4,97.45,42079134
2025-03-12,102.8,106.0,91.9,95.25,56240904
2025-03-13,96.05,97.5,92.0,95.5,32110833
2025-03-14,98.0,98.0,90.7,92.1,48167013
2025-03-17,90.9,94.45,89.2,93.75,27554566
2025-03-18,95.1,96.2,92.5,95.1,26877561
2025-03-19,89.95,90.75,87.5,89.55,48517067
2025-03-20,92.35,93.3,88.35,88.9,28411444
2025-03-21,86.05,88.25,83.35,83.5,34406731
2025-03-24,85.0,86.55,82.5,86.25,26083878
2025-03-25,82.55,84.25,79.05,79.8,41245539
2025-03-26,81.1,83.25,80.4,81.35,22090184
2025-03-27,80.45,83.3,78.65,79.1,31880625
2025-03-28,79.1,80.05,75.95,77.25,26259197
2025-03-31,76.8,79.45,75.65,78.8,21188354
2025-04-01,81.9,86.25,79.95,83.2,43794785
2025-04-02,81.55,85.45,81.35,82.9,24607417
2025-04-03,79.75,83.6,79.55,81.55,21479773
2025-04-07,72.9,74.5,64.05,65.0,64279890
2025-04-08,69.0,69.65,64.45,67.35,46745431
2025-04-09,63.65,69.3,60.6,68.2,47362485
2025-04-10,72.1,74.75,70.4,71.2,39276230
2025-04-11,70.95,78.15,70.0,75.95,38019073
2025-04-14,80.0,82.8,79.0,81.1,34004605
2025-04-15,81.35,81.9,77.6,78.8,20351729
2025-04-16,75.85,75.95,72.05,73.35,25507727
2025-04-17,72.85,75.65,71.65,73.55,16699512
2025-04-22,73.2,74.25,71.3,73.3,21749726
2025-04-23,76.5,81.2,74.35,79.7,39513221
2025-04-24,81.0,82.3,77.0,79.2,28128686
2025-04-25,81.0,81.2,77.1,77.75,20135136
2025-04-28,77.55,77.65,75.55,77.05,16102255
2025-04-29,77.05,77.2,73.2,73.6,32129845
2025-04-30,72.8,72.85,71.1,72.85,27062560
2025-05-02,73.45,78.75,72.1,77.7,11367001
2025-05-06,77.6,77.6,74.45,75.1,17336398
2025-05-07,76.95,77.9,74.5,74.8,21858730
2025-05-08,74.5,77.2,74.0,76.1,14583025
2025-05-09,76.25,76.7,74.1,75.2,9708058
2025-05-12,77.45,84.4,77.35,83.2,41690106
2025-05-13,83.0,83.0,78.2,78.75,20630539
2025-05-14,80.7,83.1,79.5,81.8,20657344
2025-05-15,80.95,81.8,79.55,80.9,13337807
2025-05-16,80.5,80.5,77.85,79.7,16713399
2025-05-19,78.8,79.2,76.35,77.6,15907088
2025-05-20,77.8,79.4,77.1,77.55,15495919
2025-05-21,77.55,78.8,76.45,77.55,20288133
2025-05-22,85.1,85.45,81.05,82.05,49608635
2025-05-23,80.2,81.3,78.6,78.85,29440736
2025-05-26,78.05,80.0,74.85,75.35,23775346
2025-05-27,75.35,76.25,73.65,75.55,16766387
2025-05-28,75.55,76.5,74.6,76.45,13495730
2025-05-29,76.45,83.15,76.45,80.4,38073011
2025-05-30,79.9,79.9,76.2,76.35,25445652
2025-06-02,75.15,76.0,73.35,75.1,9096693
2025-06-03,75.45,77.45,74.95,76.9,18708746
2025-06-04,76.1,80.45,76.1,78.5,24191274
2025-06-05,79.8,80.8,78.55,79.3,15345643
2025-06-06,78.8,78.8,75.85,77.9,37715830
2025-06-09,77.55,79.55,76.25,78.55,22168119
2025-06-10,79.1,81.25,78.1,79.4,23477983
2025-06-11,79.4,81.9,79.4,81.8,20274292
2025-06-12,79.1,79.2,76.3,76.35,38922300
2025-06-13,76.0,76.3,71.5,72.4,49832584
2025-06-16,72.3,74.3,71.45,73.8,17394949
2025-06-17,74.0,74.4,72.8,73.2,10205752
2025-06-18,73.5,74.7,72.8,73.85,13097938
2025-06-19,73.75,74.25,71.3,71.75,16223321
2025-06-20,72.0,72.45,70.9,72.45,18314957
2025-06-23,70.9,74.4,69.75,74.35,17415238
2025-06-24,75.5,77.8,75.45,76.7,28808899
2025-06-25,76.95,77.35,75.65,76.45,13760131
2025-06-26,75.6,77.1,73.65,74.15,19748848
2025-06-27,71.4,72.7,70.05,71.8,42719045
2025-06-30,71.8,72.4,70.55,70.6,20252624
2025-07-02,72.0,72.7,70.95,72.15,18608838
2025-07-03,72.5,73.95,72.0,73.95,19176337
2025-07-04,72.5,72.95,68.0,69.1,61366906
2025-07-07,69.2,71.05,68.6,70.95,25757165
2025-07-08,70.4,71.2,70.0,71.0,16237265
2025-07-09,70.75,71.85,69.05,69.5,16606668
2025-07-10,69.25,69.5,67.6,67.7,23314232
2025-07-11,67.85,69.7,67.8,68.3,21283820
2025-07-14,68.05,69.2,67.15,68.85,15339857
2025-07-15,68.9,70.8,68.6,70.8,17232321
2025-07-16,70.55,72.4,69.9,70.3,18383804
2025-07-17,70.5,71.55,69.95,71.1,12006378
2025-07-18,71.9,72.35,71.2,71.95,12423915
2025-07-21,72.25,72.5,71.2,72.15,12013713
2025-07-22,72.0,72.4,71.2,72.15,9405323
2025-07-23,73.8,74.85,73.4,74.05,25510237
2025-07-24,73.85,77.5,73.5,75.9,26179928
2025-07-25,75.9,76.0,74.8,75.3,10446692
2025-07-28,75.3,76.5,74.1,75.15,13217222
2025-07-29,74.95,75.75,73.65,74.85,10917503
2025-07-30,72.9,72.9,70.25,70.6,25651799
2025-07-31,71.15,72.45,70.15,71.6,13913256
2025-08-01,71.85,73.2,71.3,71.3,10859531
2025-08-04,71.1,73.65,71.1,73.3,14050098
2025-08-05,73.85,75.45,73.8,75.05,14774469
2025-08-06,75.8,77.7,74.1,77.3,21847934
2025-08-07,76.0,77.5,75.2,76.95,17674228
2025-08-08,76.5,79.75,76.5,79.35,20557844
2025-08-11,79.95,85.85,79.7,83.6,39376306
2025-08-12,83.0,83.95,81.1,82.0,13213756
2025-08-13,79.95,79.95,78.05,79.8,17764121
2025-08-14,79.8,79.85,77.35,77.65,15914660
2025-08-15,79.0,79.15,76.15,77.4,19682927
2025-08-18,78.75,80.15,77.95,78.5,15868491
2025-08-19,78.2,78.4,75.85,77.05,15054075
2025-08-20,79.75,81.8,79.25,80.45,35446223
2025-08-21,79.35,81.15,78.7,80.9,15037660
2025-08-22,88.45,92.25,87.25,91.9,70833441
2025-08-25,92.8,94.0,90.3,91.5,24087375
2025-08-26,90.8,94.8,88.95,94.15,23578893
2025-08-27,95.05,96.3,91.75,92.5,20845113
2025-08-28,87.95,88.35,84.05,84.9,35570000
2025-08-29,85.1,86.85,83.45,83.9,19848874
2025-09-01,82.7,84.0,81.35,83.1,18976775
2025-09-02,84.0,84.15,80.15,80.75,18900050
2025-09-03,81.75,81.9,78.35,78.95,16138423
2025-09-04,78.95,79.2,76.5,77.05,21673599
2025-09-05,77.2,78.05,76.6,77.9,23708573
2025-09-08,78.3,79.95,76.4,79.3,20061226
2025-09-09,80.3,81.7,79.6,80.85,18197417
2025-09-10,81.1,81.95,79.55,80.35,14886446
2025-09-11,78.35,79.3,77.65,78.85,14283702
2025-09-12,80.05,82.45,80.05,81.4,16429916
2025-09-15,81.1,84.2,80.8,82.7,13881016
2025-09-16,83.5,83.75,81.35,83.3,12109316
2025-09-17,83.05,85.25,81.9,84.9,20974023
2025-09-18,83.95,85.75,80.3,81.35,29332325
2025-09-19,83.0,85.45,81.85,84.15,20168333
2025-09-22,84.2,84.75,82.5,83.25,8054703
